,Condition,id
0,Left Ventricular Dysfunction,137070
1,ADHD,137071
2,Birth Control,139691
3,Opiate Dependence,137073
4,Benign Prostatic Hyperplasia,137074
5,Emergency Contraception,137075
6,Bipolar Disorde,137076
7,Epilepsy,137077
8,Migraine Prevention,139817
9,Depression,139963
10,Crohn's Disease,139897
11,Cough,139863
12,Obesity,137082
13,Urinary Tract Infection,140068
14,ibromyalgia,137084
15,Chronic Myelogenous Leukemia,137085
16,HIV Infection,137086
17,Insomnia,137087
18,Rheumatoid Arthritis,139823
19,Vaginal Yeast Infection,137089
20,Chlamydia Infection,137090
21,Hirsutism,137091
22,Panic Disorde,137092
23,Migraine,137093
24,,137094
25,Pain,139769
26,Irritable Bowel Syndrome,137096
27,Osteoarthritis,137097
28,Constipation,137098
29,Bowel Preparation,137099
30,Psychosis,137100
31,Muscle Spasm,139767
32,Hepatitis C,137102
33,Overactive Bladde,137103
34,"Diabetes, Type 2",137104
35,"Asthma, Maintenance",137105
36,Non-Small Cell Lung Cance,137106
37,Schizophrenia,139726
38,Dysuria,137108
39,Smoking Cessation,137109
40,Anxiety,137110
41,Acne,139693
42,emale Infertility,137112
43,"Constipation, Acute",137113
44,"Constipation, Drug Induced",137114
45,Erectile Dysfunction,137115
46,Trigeminal Neuralgia,137116
47,Underactive Thyroid,139871
48,Chronic Pain,140152
49,Atrophic Vaginitis,137119
50,Skin and Structure Infection,137120
51,Tinnitus,137121
52,Major Depressive Disorde,137122
53,Anxiety and Stress,137123
54,Rosacea,137124
55,High Blood Pressure,139754
56,Restless Legs Syndrome,137126
57,Osteolytic Bone Metastases of Solid Tumors,137127
58,Bronchitis,140291
59,Skin or Soft Tissue Infection,137129
60,Obsessive Compulsive Disorde,137130
61,Endometriosis,139722
62,Keratoconjunctivitis Sicca,137132
63,Breakthrough Pain,137133
64,Seizures,140708
65,Neuropathic Pain,139697
66,Sedation,137136
67,Menstrual Disorders,137137
68,Allergic Rhinitis,137138
69,Anesthesia,137139
70,Undifferentiated Connective Tissue Disease,137140
71,"Diabetes, Type 1",137141
72,Abnormal Uterine Bleeding,137142
73,Weight Loss,137143
74,"Constipation, Chronic",137144
75,"Breast Cancer, Metastatic",137145
76,Period Pain,137146
77,Helicobacter Pylori Infection,137147
78,Atrial Fibrillation,140575
79,Uterine Fibroids,137149
80,Kidney Infections,137150
81,Generalized Anxiety Disorde,137151
82,Asthma,140290
83,Postmenopausal Symptoms,137153
84,High Cholesterol,139735
85,"Hypogonadism, Male",137155
86,Hyperthyroidism,137156
87,Back Pain,137157
88,Anaplastic Oligodendroglioma,137158
89,Sjogren's Syndrome,137159
90,"Asthma, acute",137160
91,Hot Flashes,137161
92,"Herpes Simplex, Suppression",137162
93,Bacterial Infection,137163
94,Bursitis,137164
95,Diaper Rash,140115
96,Systemic Mastocytosis,137166
97,Trichotillomania,137167
98,Hashimoto's disease,137168
99,Eczema,140377
100,Dental Abscess,137170
101,Headache,137171
102,Hypersomnia,137172
103,Xerostomia,137173
104,Breast Cance,137174
105,Sore Throat,137175
106,Barrett's Esophagus,137176
107,Pain/Feve,137177
108,Diverticulitis,140401
109,Sinusitis,137179
110,Polycystic Ovary Syndrome,137180
111,Influenza,137181
112,"Hypothyroidism, After Thyroid Removal",137182
113,"Onychomycosis, Toenail",137183
114,Progesterone Insufficiency,137184
115,GERD,137185
116,"Nausea/Vomiting, Postoperative",137186
117,Herpes Simplex,137187
118,Gastroparesis,137188
119,"Gout, Acute",137189
120,Motion Sickness,140064
121,Multiple Sclerosis,140434
122,Autism,137192
123,Otitis Media,137193
124,Upper Respiratory Tract Infection,137194
125,Surgical Prophylaxis,137195
126,Psoriatic Arthritis,137196
127,Erosive Esophagitis,137197
128,Premature Ventricular Depolarizations,137198
129,Stomach Ulce,137199
130,Nausea/Vomiting,137200
131,Light Anesthesia,137201
132,Angina Pectoris Prophylaxis,137202
133,Paranoid Disorde,137203
134,Prostatitis,137204
135,Extrapyramidal Reaction,140937
136,mance Anxiety,137206
137,Night Terrors,137207
138,"High Cholesterol, Familial Heterozygous",137208
139,Spondyloarthritis,137209
140,Clostridial Infection,137210
141,Dermatomyositis,137211
142,Bronchiectasis,137212
143,Nasal Congestion,137213
144,Benign Essential Trem,137214
145,Angina,139812
146,moterol / mometasone),137216
147,Impetig,137217
148,"Conjunctivitis, Bacterial",137218
149,Post Traumatic Stress Disorde,137219
150,Alcohol Withdrawal,137220
151,Psoriasis,140177
152,Cold Sores,137222
153,Hyperhidrosis,137223
154,Ankylosing Spondylitis,137224
155,Hemorrhoids,139889
156,Schizoaffective Disorde,137226
157,Not Listed / Othe,137227
158,Rhinitis,137228
159,Oral Thrush,137229
160,Hyperlipoproteinemia,137230
161,Neutropenia Associated with Chemotherapy,137231
162,Osteoporosis,139763
163,Reflex Sympathetic Dystrophy Syndrome,137233
164,Urticaria,137234
165,Narcolepsy,137235
166,Systemic Lupus Erythematosus,140108
167,Ulcerative Colitis,137237
168,Adult Human Growth Hormone Deficiency,137238
169,Bacterial Vaginitis,137239
170,"COPD, Maintenance",137240
171,Anorexia,137241
172,TSH Suppression,137242
173,"Breast Cancer, Adjuvant",137243
174,Glaucoma,137244
175,Cough and Nasal Congestion,137245
176,Inflammatory Conditions,137246
177,Urinary Incontinence,137247
178,Gout,139829
179,Bladder Infection,137249
180,Human Papillomavirus Prophylaxis,137250
181,Glioblastoma Multiforme,137251
182,Strep Throat,140071
183,Bacterial Skin Infection,137253
184,Hereditary Angioedema,137254
185,Cold Symptoms,139689
186,Labor Pain,140280
187,Dry Skin,139969
188,Diabetes Insipidus,141392
189,Methicillin-Resistant Staphylococcus Aureus Infection,137259
190,Borderline Personality Disorde,137260
191,Amenorrhea,137261
192,Pneumonia,140346
193,Seborrheic Dermatitis,137263
194,Interstitial Cystitis,137264
195,Malaria Prevention,141279
196,Prevention of Dental Caries,137266
197,Herbal Supplementation,137267
198,Plaque Psoriasis,139824
199,Raynaud's Syndrome,137269
200,Addison's Disease,140519
201,Prostate Cance,137271
202,Allergies,137272
203,Opioid-Induced Constipation,137273
204,moterol),137274
205,Diarrhea,139806
206,Seasonal Allergic Conjunctivitis,137276
207,Opioid Overdose,137277
208,Spondylolisthesis,137278
209,Shift Work Sleep Disorde,137279
210,Obstructive Sleep Apnea/Hypopnea Syndrome,137280
