,Drugname,id
0,Valsartan,0
1,Guanfacine,1
2,Lybrel,2
3,Ortho Evra,3
4,Buprenorphine / naloxone,4
5,Cialis,5
6,Levonorgestrel,6
7,Aripiprazole,7
8,Keppra,8
9,Ethinyl estradiol / levonorgestrel,9
10,Topiramate,10
11,L-methylfolate,11
12,Pentasa,12
13,Dextromethorphan,13
14,Nexplanon,14
15,Liraglutide,15
16,Trimethoprim,16
17,Amitriptyline,17
18,Lamotrigine,18
19,Nilotinib,19
20,Atripla,20
21,Trazodone,21
22,Etonogestrel,22
23,Etanercept,23
24,Tioconazole,24
25,Azithromycin,25
26,Eflornithine,26
27,Daytrana,27
28,Ativan,28
29,Imitrex,29
30,Sertraline,30
31,Toradol,31
32,Viberzi,32
33,Mobic,33
34,Dulcolax,34
35,Morphine,35
36,MoviPrep,36
37,Trilafon,37
38,Fluconazole,38
39,Contrave,39
40,Clonazepam,40
41,Metaxalone,41
42,Venlafaxine,42
43,Ledipasvir / sofosbuvir,43
44,Symbyax,44
45,Tamsulosin,45
46,Doxycycline,46
47,Dulaglutide,47
48,Intuniv,48
49,Buprenorphine,49
50,Qvar,50
51,Opdivo,51
52,Pyridium,52
53,Latuda,53
54,Bupropion,54
55,Implanon,55
56,Effexor XR,56
57,Drospirenone / ethinyl estradiol,57
58,NuvaRing,58
59,Prepopik,59
60,Tretinoin,60
61,Gildess Fe 1 / 20,61
62,Ethinyl estradiol / norgestimate,62
63,Elbasvir / grazoprevir,63
64,Clomiphene,64
65,Docusate / senna,65
66,Amitiza,66
67,Sildenafil,67
68,Lo Loestrin Fe,68
69,Oxcarbazepine,69
70,Wellbutrin,70
71,Phillips' Milk of Magnesia,71
72,Nature-Throid,72
73,Lithium,73
74,Oxycodone,74
75,Estradiol,75
76,Sronyx,76
77,Augmentin XR,77
78,Monistat 7-Day Combination Pack,78
79,Plan B One-Step,79
80,Alprazolam,80
81,Fluoxetine,81
82,Spironolactone,82
83,Fluvoxamine,83
84,Macrobid,84
85,Lurasidone,85
86,Adapalene / benzoyl peroxide,86
87,Brimonidine,87
88,Amlodipine / olmesartan,88
89,Loestrin 24 Fe,89
90,Linaclotide,90
91,Mirtazapine,91
92,Acetaminophen / hydrocodone,92
93,Isotretinoin,93
94,Ropinirole,94
95,Zoledronic acid,95
96,Lamictal,96
97,Buspirone,97
98,Propranolol,98
99,Focalin,99
100,Jolivette,100
101,Levofloxacin,101
102,Phentermine / topiramate,102
103,Cephalexin,103
104,Aviane,104
105,Saxenda,105
106,Clomipramine,106
107,Medroxyprogesterone,107
108,Aczone,108
109,Nicoderm CQ,109
110,Naltrexone,110
111,Restasis,111
112,Depo-Provera,112
113,Olanzapine,113
114,Oxytrol,114
115,Fentanyl,115
116,Epiduo,116
117,Accutane,117
118,Xanax,118
119,Desvenlafaxine,119
120,Urea,120
121,Lyrica,121
122,Phenergan,122
123,Loestrin 21 1 / 20,123
124,Loratadine,124
125,Cardura XL,125
126,Viibryd,126
127,Mirena,127
128,Ethinyl estradiol / norelgestromin,128
129,Propofol,129
130,Camphor / menthol,130
131,Hydroxychloroquine,131
132,Lorcaserin,132
133,Insulin degludec,133
134,Trintellix,134
135,Lupron Depot,135
136,Zanaflex,136
137,Miconazole,137
138,Opana ER,138
139,Provera,139
140,Diflucan,140
141,Ibrance,141
142,Reclipsen,142
143,Lisinopril,143
144,Empagliflozin,144
145,Naproxen,145
146,Amoxicillin / clarithromycin / lansoprazole,146
147,Metoprolol,147
148,Naloxegol,148
149,Skyla,149
150,Leuprolide,150
151,Ulipristal,151
152,Benzonatate,152
153,Sulfamethoxazole / trimethoprim,153
154,Eletriptan,154
155,Escitalopram,155
156,Dulera,156
157,Prempro,157
158,Gemfibrozil,158
159,Depakote,159
160,Testosterone,160
161,Zomig,161
162,Vyvanse,162
163,Solodyn,163
164,Efavirenz / emtricitabine / tenofovir,164
165,Methimazole,165
166,Ortho Tri-Cyclen,166
167,Aleve,167
168,Tylenol with Codeine #3,168
169,Victoza,169
170,Lubiprostone,170
171,Ethinyl estradiol / norethindrone,171
172,Sovaldi,172
173,Pristiq,173
174,Temozolomide,174
175,Nabumetone,175
176,Meloxicam,176
177,Cevimeline,177
178,ProAir RespiClick,178
179,Gabapentin,179
180,Relpax,180
181,Levomilnacipran,181
182,Yaz,182
183,Valtrex,183
184,Clindamycin,184
185,BuSpar,185
186,Plan B,186
187,Trolamine salicylate,187
188,Lisdexamfetamine,188
189,Qsymia,189
190,Rizatriptan,190
191,Ziana,191
192,Boudreaux Butt Paste,192
193,Cymbalta,193
194,Zoloft,194
195,Tizanidine,195
196,Gastrocrom,196
197,Seasonique,197
198,Amphetamine / dextroamphetamine,198
199,Liletta,199
200,Exenatide,200
201,Paroxetine,201
202,Bontril Slow Release,202
203,Levothroid,203
204,Carbamazepine,204
205,Adipex-P,205
206,Bydureon,206
207,Bupropion / naltrexone,207
208,Voltaren-XR,208
209,Pimecrolimus,209
210,Acetaminophen / oxycodone,210
211,Monistat 7,211
212,Pramipexole,212
213,AndroGel,213
214,Nitrofurantoin,214
215,Metronidazole,215
216,Ziprasidone,216
217,Acetaminophen / butalbital / caffeine,217
218,Nuvigil,218
219,Moxifloxacin,219
220,Methadone,220
221,Celecoxib,221
222,Aspirin / butalbital / caffeine,222
223,Montelukast,223
224,Saliva substitutes,224
225,Atomoxetine,225
226,Anastrozole,226
227,Phenol,227
228,Duloxetine,228
229,Magnesium sulfate / potassium sulfate / sodium sulfate,229
230,Lansoprazole,230
231,Nardil,231
232,Milnacipran,232
233,Oxymorphone,233
234,Acetaminophen / aspirin / caffeine,234
235,Levora,235
236,ParaGard,236
237,Levaquin,237
238,Ciprofloxacin,238
239,Avelox,239
240,Acidophilus,240
241,Metformin,241
242,Terconazole,242
243,Saphris,243
244,Augmentin,244
245,Lexapro,245
246,Tamiflu,246
247,Prazosin,247
248,Liothyronine,248
249,Seroquel,249
250,Terbinafine,250
251,Valium,251
252,Norco,252
253,Progesterone,253
254,Concerta,254
255,Ocella,255
256,Strattera,256
257,Mylanta,257
258,TriNessa,258
259,Goserelin,259
260,Quetiapine,260
261,Testim,261
262,Emend,262
263,Methylphenidate,263
264,Acyclovir,264
265,Linzess,265
266,Orthovisc,266
267,Silodosin,267
268,Metoclopramide,268
269,Indomethacin,269
270,Copper,270
271,Meclizine,271
272,Gilenya,272
273,Microgestin Fe 1 / 20,273
274,Klonopin,274
275,Codeine / guaifenesin,275
276,Citalopram,276
277,Colazal,277
278,Fiorinal with Codeine,278
279,Zolpidem,279
280,Wellbutrin XL,280
281,Climara Pro,281
282,Clarithromycin,282
283,Bactrim DS,283
284,Varenicline,284
285,Amoxicillin / clavulanate,285
286,Tolterodine,286
287,Hydroxyzine,287
288,Blisovi Fe 1 / 20,288
289,Ramelteon,289
290,Infliximab,290
291,Rabeprazole,291
292,Dexilant,292
293,Immune globulin oral,293
294,Nucynta,294
295,Hysingla ER,295
296,Pantoprazole,296
297,Sprycel,297
298,Tri-Sprintec,298
299,Doxepin,299
300,Zofran,300
301,Versed,301
302,Cipro,302
303,MS Contin,303
304,Avonex,304
305,Focalin XR,305
306,Junel Fe 1 / 20,306
307,Imdur,307
308,Diazepam,308
309,Bisacodyl,309
310,Nortrel 1 / 35,310
311,Suvorexant,311
312,Risperidone,312
313,Sprintec,313
314,Risperdal,314
315,Simponi,315
316,Euflexxa,316
317,Diclofenac,317
318,Dimenhydrinate,318
319,Benztropine,319
320,Ortho Tri-Cyclen Lo,320
321,Ibuprofen,321
322,Sumatriptan,322
323,Polyethylene glycol 3350,323
324,Xenical,324
325,Glatiramer,325
326,Atarax,326
327,Orsythia,327
328,Alirocumab,328
329,Sublimaze,329
330,Ethinyl estradiol / etonogestrel,330
331,femhrt,331
332,Lortab,332
333,Haldol,333
334,Tapentadol,334
335,Ketorolac,335
336,Phentermine,336
337,Effexor,337
338,Remicade,338
339,Flexeril,339
340,SMZ-TMP DS,340
341,Dutasteride,341
342,Thyroid desiccated,342
343,Opana,343
344,Zyprexa,344
345,Vedolizumab,345
346,Chantix,346
347,Suboxone,347
348,Mirapex,348
349,Uribel,349
350,Vicks Sinex Nasal Spray (old formulation),350
351,Bactrim,351
352,Depo-Provera Contraceptive,352
353,Ceftriaxone,353
354,Ranexa,354
355,Trulicity,355
356,Percocet,356
357,Sitagliptin,357
358,Formoterol / mometasone,358
359,Ambien,359
360,Belviq,360
361,Retapamulin,361
362,Vigamox,362
363,Levetiracetam,363
364,Elidel,364
365,Abilify Discmelt,365
366,Delsym 12 Hour Cough Relief,366
367,Baclofen,367
368,Halobetasol,368
369,Azelastine / fluticasone,369
370,Drysol,370
371,Alavert D-12 Hour Allergy and Sinus,371
372,Cimzia,372
373,Rexulti,373
374,Proctofoam,374
375,Alli,375
376,Cefdinir,376
377,Tramadol,377
378,Norflex,378
379,Humira,379
380,Tecfidera,380
381,Acetaminophen / dichloralphenazone / isometheptene mucate,381
382,Benzoyl peroxide / clindamycin,382
383,Methyl salicylate,383
384,Monistat 3-Day Combination Pack,384
385,Clindamycin / tretinoin,385
386,Flonase,386
387,Norethindrone,387
388,Alvesco,388
389,Nystatin,389
390,EContra EZ,390
391,TriCor,391
392,Diphenhydramine,392
393,Neulasta,393
394,Zolmitriptan,394
395,Minastrin 24 Fe,395
396,Levothyroxine,396
397,Mononessa,397
398,Differin,398
399,Ibandronate,399
400,Zithromax,400
401,Compazine,401
402,Topamax,402
403,Ustekinumab,403
404,Minocycline,404
405,Ultram ER,405
406,Nortriptyline,406
407,Pregabalin,407
408,Suprep Bowel Prep Kit,408
409,Armour Thyroid,409
410,Jolessa,410
411,Mirvaso,411
412,Atralin,412
413,Crestor,413
414,Rozerem,414
415,Cryselle,415
416,Sucralfate,416
417,Efinaconazole,417
418,Cetirizine,418
419,Amoxicillin,419
420,Soma,420
421,Neupro,421
422,Valacyclovir,422
423,Toprol-XL,423
424,Sodium oxybate,424
425,Mesalamine,425
426,Orlistat,426
427,Butorphanol,427
428,Humatrope,428
429,Diltiazem,429
430,Hydrocodone,430
431,Ritalin,431
432,Kapvay,432
433,Prozac,433
434,Vicodin,434
435,Falmina,435
436,Relafen,436
437,Restoril,437
438,Frovatriptan,438
439,Losartan,439
440,Sharobel,440
441,Xyrem,441
442,Apri,442
443,ella,443
444,Spiriva,444
445,Tasigna,445
446,Dupixent,446
447,Lorazepam,447
448,Cyproheptadine,448
449,Repatha,449
450,Docusate,450
451,Hydrochlorothiazide,451
452,Scopolamine,452
453,Flurbiprofen,453
454,Femara,454
455,Methotrexate,455
456,Hypercare,456
457,Epinephrine,457
458,Brimonidine / timolol,458
459,Mucinex D,459
460,Azor,460
461,Voltaren,461
462,Vortioxetine,462
463,Velivet,463
464,Necon 1 / 35,464
465,Seroquel XR,465
466,Detrol LA,466
467,Sporanox,467
468,Febuxostat,468
469,Eluxadoline,469
470,Neurontin,470
471,Ondansetron,471
472,Gardasil,472
473,Avastin,473
474,Paliperidone,474
475,Nora-Be,475
476,Penicillin v potassium,476
477,Tofacitinib,477
478,St. john's wort,478
479,Rythmol SR,479
480,Vytorin,480
481,Dilaudid,481
482,Vilazodone,482
483,Librium,483
484,Duac,484
485,Dapsone,485
486,Vicodin ES,486
487,Hydromorphone,487
488,Zyban,488
489,Ranitidine,489
490,Arava,490
491,Acetaminophen / caffeine,491
492,Adderall,492
493,Ruconest,493
494,Pseudoephedrine / triprolidine,494
495,Etodolac,495
496,Emsam,496
497,Diovan,497
498,Ammonium lactate,498
499,Desmopressin,499
500,Zepatier,500
501,Magnesium hydroxide,501
502,Butrans,502
503,Botox,503
504,Azelastine,504
505,Xalkori,505
506,Zyvox,506
507,Rocephin,507
508,Kyleena,508
509,Toujeo,509
510,Dexlansoprazole,510
511,Brexpiprazole,511
512,Roxicodone Intensol,512
513,Reglan,513
514,Divalproex sodium,514
515,Tindamax,515
516,Camrese,516
517,MetroGel-Vaginal,517
518,Tadalafil,518
519,Flecainide,519
520,Junel Fe 1.5 / 30,520
521,Flagyl,521
522,Ovace Plus,522
523,Secobarbital,523
524,Empagliflozin / linagliptin,524
525,Raltegravir,525
526,Tavaborole,526
527,Ampyra,527
528,Celebrex,528
529,Colchicine,529
530,Geodon,530
531,Aluminum chloride hexahydrate,531
532,Tryptophan,532
533,Myrbetriq,533
534,Malarone,534
535,Fetzima,535
536,Omeprazole,536
537,Fluoride,537
538,Jardiance,538
539,Turmeric,539
540,Acetaminophen / butalbital / caffeine / codeine,540
541,Desogestrel / ethinyl estradiol,541
542,Secukinumab,542
543,Ethinyl estradiol / norgestrel,543
544,Nifedipine,544
545,Celexa,545
546,Prednisone,546
547,Methocarbamol,547
548,Haldol Decanoate,548
549,Beyaz,549
550,Taclonex,550
551,Decadron,551
552,Vardenafil,552
553,Oxazepam,553
554,Dexmethylphenidate,554
555,Firmagon,555
556,Phenazopyridine,556
557,Tiotropium,557
558,Savella,558
559,Cataflam,559
560,Cobicistat / elvitegravir / emtricitabine / tenofovir,560
561,Ramipril,561
562,Relistor,562
563,Paxil,563
564,Stelara,564
565,Cambia,565
566,Ezetimibe,566
567,Mefenamic acid,567
568,Budesonide / formoterol,568
569,Doryx,569
570,Dymista,570
571,Omalizumab,571
572,Conjugated estrogens,572
573,Lunesta,573
574,Mometasone,574
575,Phenylephrine,575
576,VESIcare,576
577,Kapidex,577
578,Errin,578
579,Lomotil,579
580,Clomid,580
581,Clozapine,581
582,Olopatadine,582
583,Narcan Injection,583
584,Mirabegron,584
585,Wellbutrin SR,585
586,Cyclobenzaprine,586
587,Tinidazole,587
588,Asenapine,588
589,Penicillin VK,589
590,Oxymetazoline,590
591,EpiCeram,591
592,Temazepam,592
593,Oxybutynin,593
594,Armodafinil,594
595,Epclusa,595
596,Dalfampridine,596
597,OnabotulinumtoxinA,597
598,Doxylamine / pyridoxine,598
599,Estarylla,599
600,Vancomycin,600
601,Naproxen / sumatriptan,601
602,Fastin,602
603,Protonix,603
604,Bazedoxifene / conjugated estrogens,604
605,Chloral hydrate,605
606,Lialda,606
607,Maxalt,607
608,Denosumab,608
609,Boniva,609
610,Sklice,610
611,Acetazolamide,611
612,Clinpro 5000,612
613,Zelapar,613
614,Desloratadine,614
615,Docosanol,615
616,Acetaminophen,616
617,Chaparral,617
618,Hyaluronan,618
619,Polyethylene glycol 3350 with electrolytes,619
620,Mestranol / norethindrone,620
621,Melatonin,621
622,Symbicort,622
623,Lutera,623
624,Emollients,624
625,Colesevelam,625
626,Zyclara,626
627,Aspirin / caffeine,627
628,Abreva,628
629,Isocarboxazid,629
630,Correctol,630
631,Plecanatide,631
632,Xarelto,632
633,Prevacid,633
634,Simvastatin,634
635,Carbatrol,635
636,Dapagliflozin,636
637,Tresiba,637
638,Oracea,638
639,Abilify,639
640,Meperidine,640
641,Tamoxifen,641
642,Harvoni,642
643,Imiquimod,643
644,Trospium,644
645,Limbitrol,645
646,Zegerid,646
647,Diethylpropion,647
648,Limbrel,648
649,Verapamil,649
650,Premarin,650
651,Pentazocine,651
652,Apremilast,652
653,Ciclesonide,653
654,Canagliflozin,654
655,Megestrol,655
656,LoSeasonique,656
657,Otezla,657
658,Zenzedi,658
659,Phosphorated carbohydrate solution,659
660,"Influenza virus vaccine, live, trivalent",660
661,Deplin,661
662,Methylprednisolone,662
663,Invega,663
664,Cutar,664
665,Serzone,665
666,Biaxin XL,666
667,Coreg,667
668,Ortho Cyclen,668
669,Lorcet 10 / 650,669
670,Letrozole,670
671,Cefuroxime,671
672,Sectral,672
673,Belladonna / opium,673
674,Flomax,674
675,My Way,675
676,Belsomra,676
677,Adapalene,677
678,Promethazine,678
679,Fentanyl Transdermal System,679
680,Desoxyn,680
681,Tegretol,681
682,Latisse,682
683,Oseltamivir,683
684,Kombiglyze XR,684
685,Minoxidil,685
686,Enbrel,686
687,Adalimumab,687
688,Xulane,688
